frame_idx,class,x1,y1,x2,y2
8,NO-Mask,915,188,1436,833
8,NO-Hardhat,917,187,1431,838
16,NO-Hardhat,808,235,1381,875
24,NO-Hardhat,687,250,1282,870
32,NO-Hardhat,995,212,1469,801
32,NO-Mask,997,213,1470,801
40,NO-Hardhat,767,245,1214,807
40,NO-Mask,770,242,1216,804
48,NO-Mask,951,203,1513,839
48,NO-Hardhat,954,196,1515,834
56,NO-Hardhat,627,246,1138,818
56,NO-Mask,631,239,1136,818
64,NO-Hardhat,858,225,1364,829
64,NO-Mask,857,224,1363,826
72,NO-Hardhat,891,211,1432,836
72,NO-Mask,890,231,1431,830
80,NO-Mask,850,225,1366,832
80,NO-Hardhat,853,223,1367,838
88,NO-Hardhat,785,224,1271,830
88,NO-Mask,785,225,1272,828
96,NO-Hardhat,780,228,1266,840
104,NO-Hardhat,784,227,1271,833
112,NO-Hardhat,788,225,1276,834
120,NO-Hardhat,793,226,1279,836
128,NO-Hardhat,794,225,1278,837
136,NO-Hardhat,796,225,1281,840
144,NO-Hardhat,801,225,1281,835
152,NO-Hardhat,800,224,1278,837
160,NO-Hardhat,802,213,1274,872
176,NO-Hardhat,801,225,1260,854
184,NO-Hardhat,790,219,1264,846
192,NO-Hardhat,799,222,1248,841
200,NO-Hardhat,801,226,1221,859
216,NO-Hardhat,825,226,1303,856
224,NO-Hardhat,835,226,1312,849
224,NO-Mask,1832,541,1919,780
232,NO-Hardhat,709,278,1186,836
232,NO-Mask,1724,564,1920,865
232,NO-Mask,711,277,1185,833
240,NO-Hardhat,703,279,1162,836
240,NO-Mask,704,278,1161,832
240,NO-Mask,1799,666,1919,883
248,NO-Mask,960,188,1479,829
248,NO-Hardhat,959,188,1479,831
256,NO-Mask,961,192,1480,852
256,NO-Hardhat,961,192,1479,851
264,NO-Hardhat,957,192,1471,834
