frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,332.05,424.69,756.74,1.32,1,1,0
1,0.72,0.06,0.78,1283.84,1,1,0
2,0.65,0.06,0.71,1410.8,1,1,0
3,0.48,0.1,0.59,1697.41,1,1,0
4,0.59,0.06,0.65,1536.38,1,1,0
5,397.43,0.06,397.49,2.52,1,1,0
6,0.62,0.06,0.68,1474.79,1,1,0
7,0.42,0.08,0.5,2007.8,1,1,0
8,0.43,430.65,431.08,2.32,1,1,0
9,0.58,0.06,0.64,1557.48,1,1,0
10,265.56,0.06,265.62,3.76,1,1,0
11,0.35,0.05,0.4,2507.06,1,1,0
12,0.34,0.05,0.39,2551.28,1,1,0
13,0.46,0.06,0.52,1937.32,1,1,0
14,0.46,0.07,0.53,1880.01,1,1,0
15,198.84,0.06,198.9,5.03,1,1,0
16,0.27,419.34,419.61,2.38,1,1,0
17,0.75,0.06,0.81,1233.26,1,1,0
18,0.29,0.06,0.34,2906.66,1,1,0
19,0.52,0.05,0.57,1745.44,1,1,0
20,239.79,0.06,239.85,4.17,1,1,0
21,0.3,0.05,0.36,2816.86,1,1,0
22,0.28,0.06,0.34,2941.31,1,1,0
23,0.31,0.06,0.37,2716.52,1,1,0
24,0.31,422.9,423.22,2.36,1,1,0
25,552.95,0.1,553.05,1.81,1,1,0
26,0.57,0.07,0.63,1579.78,1,1,0
27,0.57,0.06,0.64,1569.14,1,1,0
28,0.32,0.06,0.38,2644.58,1,1,0
29,0.55,0.06,0.61,1650.0,1,1,0
30,369.0,0.1,369.1,2.71,1,1,0
31,0.38,0.07,0.44,2247.75,1,1,0
32,0.49,746.68,747.17,1.34,1,1,0
33,0.87,0.06,0.93,1071.89,1,1,0
34,1.04,0.07,1.12,894.5,1,1,0
35,360.34,0.06,360.4,2.77,1,1,0
36,0.34,0.07,0.41,2457.12,1,1,0
37,0.31,0.05,0.36,2794.34,1,1,0
38,0.37,0.05,0.42,2376.38,1,1,0
39,0.28,0.05,0.33,3066.01,1,1,0
40,213.57,415.67,629.24,1.59,1,1,0
41,0.42,0.06,0.48,2097.15,1,1,0
42,0.23,0.05,0.28,3530.56,1,1,0
43,0.15,0.05,0.2,4975.45,1,1,0
44,0.29,0.07,0.36,2746.76,1,1,0
45,200.87,0.06,200.92,4.98,2,2,0
46,0.57,0.05,0.62,1623.81,1,1,0
47,0.27,0.05,0.32,3104.59,1,1,0
48,0.24,356.04,356.28,2.81,1,1,0
49,0.39,0.06,0.46,2187.95,1,1,0
50,211.53,0.06,211.59,4.73,1,1,0
51,0.36,0.06,0.42,2398.12,1,1,0
52,0.47,0.08,0.55,1811.01,1,1,0
53,0.4,0.06,0.46,2158.67,1,1,0
54,0.28,0.05,0.33,3048.19,1,1,0
55,213.84,0.06,213.89,4.68,1,1,0
56,0.33,371.18,371.51,2.69,1,1,0
57,0.53,0.07,0.6,1655.86,1,1,0
58,0.86,0.06,0.92,1085.48,1,1,0
59,0.33,0.06,0.38,2603.54,1,1,0
60,626.94,0.14,627.08,1.59,1,1,0
61,0.61,0.05,0.67,1499.04,1,1,0
62,0.27,0.05,0.32,3113.81,1,1,0
63,0.33,0.05,0.38,2605.16,1,1,0
64,0.37,436.25,436.62,2.29,1,1,0
65,248.58,0.06,248.64,4.02,1,1,0
66,0.29,0.05,0.35,2896.62,1,1,0
67,0.27,0.05,0.32,3118.44,1,1,0
68,0.29,0.05,0.34,2976.79,1,1,0
69,0.26,0.05,0.31,3258.98,1,1,0
70,181.02,0.1,181.11,5.52,1,1,0
71,0.3,0.05,0.36,2785.06,1,1,0
72,0.26,358.56,358.82,2.79,1,1,0
73,0.45,0.07,0.51,1945.41,1,1,0
74,0.28,0.05,0.33,3068.25,1,1,0
75,215.48,0.06,215.54,4.64,1,1,0
76,0.55,0.05,0.61,1644.83,1,1,0
77,0.27,0.05,0.32,3144.16,1,1,0
78,0.43,0.05,0.48,2083.61,1,1,0
79,0.35,0.05,0.4,2487.72,1,1,0
80,211.02,350.54,561.56,1.78,1,1,0
81,0.38,0.05,0.43,2309.64,1,1,0
82,0.29,0.05,0.34,2983.15,1,1,0
83,0.49,0.05,0.54,1862.48,1,1,0
84,0.27,0.05,0.32,3123.09,1,1,0
85,220.78,0.06,220.84,4.53,1,1,0
86,0.28,0.05,0.34,2959.99,1,1,0
87,0.64,0.06,0.7,1436.41,1,1,0
88,0.37,374.27,374.64,2.67,1,1,0
89,0.37,0.05,0.42,2373.69,1,1,0
90,375.78,0.11,375.88,2.66,1,1,0
91,0.47,0.06,0.53,1880.01,1,1,0
92,0.31,0.06,0.37,2739.58,1,1,0
93,0.31,0.05,0.36,2777.68,1,1,0
94,0.3,0.06,0.36,2801.81,1,1,0
95,233.81,0.06,233.87,4.28,1,1,0
96,0.53,516.57,517.1,1.93,1,1,0
97,0.34,0.06,0.4,2499.59,1,1,0
98,0.39,0.05,0.44,2283.24,1,1,0
99,0.31,0.13,0.44,2247.75,1,1,0
100,230.72,0.06,230.78,4.33,1,1,0
101,0.46,0.06,0.52,1916.08,1,1,0
102,0.32,0.05,0.37,2673.23,1,1,0
103,0.34,0.05,0.4,2531.26,1,1,0
104,0.26,373.27,373.53,2.68,1,1,0
105,217.29,0.06,217.36,4.6,1,1,0
106,0.26,0.05,0.31,3214.03,1,1,0
107,0.43,0.05,0.48,2101.35,1,1,0
108,0.25,0.05,0.3,3366.22,1,1,0
109,0.35,0.05,0.4,2511.56,1,1,0
110,280.89,0.06,280.95,3.56,1,1,0
111,0.33,0.06,0.39,2576.35,1,1,0
112,0.27,393.41,393.69,2.54,1,1,0
