ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758465262.864212,e722f4c0,2,1,1,0,anish,0.5185,880,256,1258,753
1758465262.952286,e722f4c0,3,1,1,0,anish,0.5185,878,257,1256,754
1758465263.92238,e722f4c0,4,1,1,0,anish,0.5097,878,259,1254,755
1758465264.053314,e722f4c0,5,1,1,0,anish,0.5097,882,289,1229,747
1758465264.611739,e722f4c0,6,1,1,0,anish,0.5058,862,266,1249,779
1758465264.758558,e722f4c0,7,1,1,0,anish,0.5058,852,257,1255,791
1758465265.637557,e722f4c0,8,1,1,0,anish,0.5083,860,275,1246,785
1758465265.7484748,e722f4c0,9,1,1,0,anish,0.5083,862,273,1248,783
1758465266.27581,e722f4c0,10,1,1,0,anish,0.5061,861,269,1246,782
1758465266.3733811,e722f4c0,11,1,1,0,anish,0.5061,861,268,1246,781
1758465266.776615,e722f4c0,12,1,1,0,anish,0.5156,860,267,1245,781
1758465266.852274,e722f4c0,13,1,1,0,anish,0.5156,861,266,1246,780
1758465267.279094,e722f4c0,14,1,1,0,anish,0.5137,860,268,1246,779
1758465267.3911848,e722f4c0,15,1,1,0,anish,0.5137,861,267,1247,778
1758465268.2683709,e722f4c0,16,1,1,0,anish,0.5206,861,270,1246,782
1758465268.367569,e722f4c0,17,1,1,0,anish,0.5206,861,271,1246,783
1758465268.861264,e722f4c0,18,1,1,0,anish,0.5119,861,268,1248,783
1758465268.960918,e722f4c0,19,1,1,0,anish,0.5119,860,266,1247,781
1758465269.399244,e722f4c0,20,1,1,0,anish,0.525,860,269,1245,782
1758465269.492915,e722f4c0,21,1,1,0,anish,0.525,859,268,1244,781
1758465269.937248,e722f4c0,22,1,1,0,anish,0.5225,859,268,1245,782
1758465270.035245,e722f4c0,23,1,1,0,anish,0.5225,859,267,1245,781
1758465270.870708,e722f4c0,24,1,1,0,anish,0.519,858,270,1243,779
1758465270.991989,e722f4c0,25,1,1,0,anish,0.519,859,269,1244,778
