frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,207.01,588.0,795.01,1.26,0,0,0
1,1.05,0.14,1.19,840.37,0,0,0
2,508.45,0.3,508.74,1.97,1,1,0
3,68.11,0.17,68.28,14.64,1,1,0
4,938.26,0.93,939.19,1.06,1,1,0
5,93.29,0.21,93.5,10.7,1,1,0
6,520.61,0.53,521.15,1.92,1,1,0
7,104.39,0.19,104.58,9.56,1,1,0
8,407.18,442.54,849.72,1.18,1,1,0
9,93.26,0.21,93.47,10.7,1,1,0
10,489.45,0.77,490.22,2.04,1,1,0
11,84.58,0.49,85.07,11.76,1,1,0
12,387.58,0.2,387.78,2.58,1,1,0
13,64.59,0.49,65.07,15.37,1,1,0
14,391.47,0.21,391.68,2.55,1,1,0
15,101.93,0.2,102.13,9.79,1,1,0
16,392.96,454.54,847.5,1.18,1,1,0
17,78.16,0.28,78.44,12.75,1,1,0
18,472.58,0.48,473.06,2.11,1,1,0
19,71.7,0.21,71.9,13.91,1,1,0
20,409.11,0.36,409.47,2.44,1,1,0
21,68.91,0.23,69.14,14.46,1,1,0
22,413.83,0.24,414.06,2.42,1,1,0
23,76.83,0.19,77.02,12.98,1,1,0
24,404.3,410.53,814.83,1.23,1,1,0
25,101.39,0.37,101.76,9.83,1,1,0
