frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,983.97,1616.95,2600.92,0.38,1,1,0
1,173.81,0.27,174.09,5.74,1,1,0
2,492.32,0.27,492.59,2.03,1,1,0
3,95.08,0.25,95.32,10.49,1,1,0
4,331.88,1.29,333.16,3.0,1,1,0
5,104.55,0.79,105.34,9.49,1,1,0
6,356.72,0.21,356.92,2.8,1,1,0
7,105.4,0.19,105.59,9.47,1,1,0
8,327.27,383.92,711.19,1.41,1,1,0
9,87.92,0.39,88.3,11.32,1,1,0
10,281.83,0.2,282.03,3.55,1,1,0
11,79.54,0.4,79.94,12.51,1,1,0
12,290.64,0.19,290.83,3.44,1,1,0
13,67.72,0.2,67.93,14.72,1,1,0
14,282.39,0.37,282.76,3.54,1,1,0
15,71.56,0.21,71.77,13.93,1,1,0
16,267.64,372.42,640.06,1.56,1,1,0
17,70.16,0.38,70.54,14.18,1,1,0
18,314.83,0.26,315.09,3.17,1,1,0
19,61.39,0.27,61.66,16.22,1,1,0
20,252.42,0.22,252.63,3.96,1,1,0
21,59.53,0.21,59.74,16.74,1,1,0
22,309.05,0.52,309.57,3.23,1,1,0
23,67.44,0.32,67.76,14.76,1,1,0
24,281.7,380.66,662.36,1.51,1,1,0
25,59.02,0.2,59.22,16.89,1,1,0
26,245.05,0.19,245.25,4.08,1,1,0
27,56.86,0.19,57.05,17.53,1,1,0
28,280.54,0.2,280.74,3.56,1,1,0
29,61.71,0.2,61.91,16.15,1,1,0
30,283.94,0.17,284.11,3.52,1,1,0
31,69.55,0.18,69.73,14.34,1,1,0
32,294.93,372.23,667.16,1.5,1,1,0
33,68.78,0.23,69.01,14.49,1,1,0
34,267.58,0.21,267.79,3.73,1,1,0
35,74.0,0.17,74.17,13.48,1,1,0
36,246.46,0.22,246.68,4.05,1,1,0
37,62.38,0.19,62.57,15.98,1,1,0
38,267.61,0.24,267.86,3.73,1,1,0
39,72.04,0.23,72.27,13.84,1,1,0
40,249.89,340.15,590.04,1.69,1,1,0
41,81.91,0.18,82.09,12.18,1,1,0
42,266.1,0.21,266.31,3.76,1,1,0
43,92.46,0.38,92.84,10.77,1,1,0
44,276.91,0.19,277.11,3.61,1,1,0
45,74.27,0.21,74.48,13.43,1,1,0
46,260.96,0.22,261.18,3.83,1,1,0
47,93.97,0.23,94.2,10.62,1,1,0
48,251.94,357.14,609.08,1.64,1,1,0
49,61.34,0.29,61.63,16.23,1,1,0
50,258.39,0.32,258.71,3.87,1,1,0
51,69.96,0.22,70.17,14.25,1,1,0
52,259.16,0.2,259.36,3.86,1,1,0
53,61.54,0.27,61.81,16.18,1,1,0
54,264.87,0.21,265.08,3.77,1,1,0
55,57.46,0.21,57.67,17.34,1,1,0
56,237.55,358.58,596.13,1.68,1,1,0
57,66.97,0.22,67.19,14.88,1,1,0
58,264.51,0.2,264.7,3.78,1,1,0
59,46.58,0.25,46.83,21.35,1,1,0
60,238.23,0.2,238.42,4.19,1,1,0
61,52.96,0.23,53.2,18.8,1,1,0
62,244.71,0.19,244.9,4.08,1,1,0
63,51.17,0.32,51.49,19.42,1,1,0
