frame_idx,class,x1,y1,x2,y2
0,NO-Hardhat,800,149,1363,962
8,NO-Mask,796,184,1302,990
16,NO-Mask,764,196,1223,924
16,NO-Hardhat,761,197,1223,915
24,NO-Mask,800,226,1237,886
32,NO-Hardhat,965,352,1499,934
32,NO-Mask,966,342,1499,939
40,NO-Mask,834,321,1300,911
48,NO-Mask,647,240,1130,885
48,NO-Hardhat,646,242,1130,886
56,NO-Mask,782,212,1225,959
56,NO-Hardhat,779,210,1224,949
64,NO-Mask,814,187,1314,961
72,NO-Mask,841,255,1285,966
72,NO-Hardhat,839,257,1285,965
80,NO-Mask,837,217,1291,964
80,NO-Hardhat,835,215,1289,954
88,NO-Mask,828,201,1311,943
88,NO-Hardhat,828,199,1310,939
96,NO-Hardhat,837,198,1319,942
96,NO-Mask,835,198,1320,942
112,NO-Mask,0,192,477,923
136,NO-Mask,1329,556,1570,831
136,NO-Hardhat,1327,564,1569,832
144,NO-Mask,1316,566,1570,861
144,NO-Hardhat,1319,570,1572,860
152,NO-Mask,1329,581,1574,875
160,NO-Mask,0,8,160,747
168,NO-Mask,673,199,1016,648
176,NO-Mask,489,2,998,520
184,NO-Mask,746,169,1044,534
184,NO-Hardhat,747,146,1047,539
192,NO-Mask,757,198,1054,549
200,NO-Mask,760,211,1066,556
200,NO-Hardhat,755,176,1069,557
208,NO-Mask,749,152,1048,543
208,NO-Hardhat,749,95,1051,547
216,NO-Mask,712,180,996,532
216,NO-Hardhat,711,175,996,535
224,NO-Mask,994,2,1784,612
224,NO-Hardhat,997,1,1833,618
232,NO-Mask,718,6,1211,707
232,NO-Hardhat,719,6,1211,711
240,NO-Mask,793,10,1284,731
240,NO-Hardhat,791,10,1285,728
248,NO-Mask,840,8,1318,734
248,NO-Hardhat,840,7,1318,735
256,NO-Mask,838,11,1296,714
256,NO-Hardhat,841,10,1294,724
264,NO-Mask,849,6,1324,705
264,NO-Hardhat,847,7,1323,697
272,NO-Mask,847,10,1317,705
272,NO-Hardhat,849,9,1317,714
280,NO-Mask,844,7,1308,701
280,NO-Hardhat,844,7,1308,711
288,NO-Hardhat,846,5,1310,708
288,NO-Mask,845,6,1309,695
296,NO-Mask,786,10,1257,697
304,NO-Mask,858,31,1333,690
312,NO-Mask,966,114,1467,662
320,NO-Mask,838,17,1289,657
320,NO-Hardhat,838,15,1290,654
328,NO-Mask,833,12,1278,633
328,NO-Hardhat,836,10,1278,645
336,NO-Mask,853,12,1298,627
336,NO-Hardhat,856,6,1295,637
