ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758263434.940625,ea27e77f,0,1,1,0,worker1,0.9129,391,88,467,182
1758263439.404403,ea27e77f,5,1,1,0,worker1,0.85,392,89,465,182
1758263440.3442402,ea27e77f,10,1,1,0,worker1,0.9314,393,90,468,182
1758263440.839199,ea27e77f,15,1,1,0,worker1,0.9223,393,90,469,182
1758263441.577761,ea27e77f,20,1,1,0,worker1,0.8556,395,90,468,180
1758263442.279377,ea27e77f,25,1,1,0,worker1,0.9311,394,90,470,182
1758263442.590108,ea27e77f,30,1,1,0,worker1,0.9224,394,90,469,182
1758263443.280832,ea27e77f,35,1,1,0,worker1,0.8525,394,89,468,180
1758263443.6169548,ea27e77f,40,1,1,0,worker1,0.9289,393,89,469,182
1758263444.2667708,ea27e77f,45,1,1,0,worker1,0.9068,392,88,469,184
1758263444.9056299,ea27e77f,50,1,1,0,worker1,0.8287,394,89,467,183
1758263445.241653,ea27e77f,55,1,1,0,worker1,0.9268,392,87,468,185
1758263445.9636412,ea27e77f,60,1,1,0,worker1,0.8905,392,88,469,185
1758263446.679125,ea27e77f,65,1,1,0,worker1,0.814,394,90,469,185
1758263447.0375931,ea27e77f,70,1,1,0,worker1,0.9183,391,89,467,186
1758263447.680244,ea27e77f,75,1,1,0,worker1,0.8926,390,88,466,185
1758263447.961577,ea27e77f,80,1,1,0,worker1,0.7955,393,88,468,184
1758263448.639039,ea27e77f,85,1,1,0,worker1,0.9182,392,88,468,186
1758263449.2383208,ea27e77f,90,1,1,0,worker1,0.9157,391,88,468,187
1758263449.5210261,ea27e77f,95,1,1,0,worker1,0.8154,392,90,466,185
1758263450.1867971,ea27e77f,100,1,1,0,worker1,0.9109,391,89,467,187
1758263450.842815,ea27e77f,105,1,1,0,worker1,0.9093,391,89,467,187
1758263451.1748512,ea27e77f,110,1,1,0,worker1,0.8341,392,90,466,184
1758263452.422241,ea27e77f,115,1,1,0,worker1,0.9064,392,88,468,187
1758263452.775466,ea27e77f,120,1,1,0,worker1,0.9163,392,88,468,187
1758263453.505315,ea27e77f,125,1,1,0,worker1,0.8247,393,88,467,184
1758263454.227326,ea27e77f,130,1,1,0,worker1,0.8891,391,88,468,186
1758263454.509009,ea27e77f,135,1,1,0,worker1,0.8854,391,87,468,186
1758263455.1376672,ea27e77f,140,1,1,0,worker1,0.8093,392,89,466,184
1758263455.855684,ea27e77f,145,1,1,0,worker1,0.8896,391,88,468,186
1758263456.169169,ea27e77f,150,1,1,0,worker1,0.8763,391,87,468,186
1758263456.938102,ea27e77f,155,1,1,0,worker1,0.7969,393,89,467,184
1758263457.218795,ea27e77f,160,1,1,0,worker1,0.8768,392,88,469,186
1758263457.842647,ea27e77f,165,1,1,0,worker1,0.8856,392,88,468,186
1758263458.506965,ea27e77f,170,1,1,0,worker1,0.8017,392,88,467,185
1758263458.798712,ea27e77f,175,1,1,0,worker1,0.8699,391,88,468,186
1758263459.426978,ea27e77f,180,1,1,0,worker1,0.8748,392,89,468,186
