frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,685.99,3880.21,4566.2,0.22,1,1,0
1,21.49,0.12,21.61,46.27,1,1,0
2,19.26,0.09,19.36,51.66,1,1,0
3,19.45,0.12,19.57,51.11,1,1,0
4,25.39,0.22,25.61,39.05,1,1,0
5,481.68,0.06,481.74,2.08,1,1,0
6,18.6,0.06,18.65,53.61,1,1,0
7,17.64,0.06,17.7,56.51,1,1,0
8,17.51,516.19,533.69,1.87,1,1,0
9,21.11,0.11,21.22,47.14,1,1,0
10,341.44,0.08,341.53,2.93,1,1,0
11,49.38,0.75,50.14,19.95,1,1,0
12,40.41,0.09,40.49,24.7,1,1,0
13,25.71,0.07,25.78,38.79,1,1,0
14,37.38,0.07,37.44,26.71,1,1,0
15,313.73,0.06,313.79,3.19,1,1,0
16,19.56,438.86,458.42,2.18,1,1,0
17,18.2,0.06,18.26,54.76,1,1,0
18,17.38,0.06,17.44,57.34,1,1,0
19,18.36,0.06,18.42,54.29,1,1,0
20,218.78,0.06,218.83,4.57,1,1,0
21,17.76,0.06,17.81,56.13,1,1,0
22,15.91,0.06,15.97,62.64,1,1,0
23,16.13,0.05,16.18,61.8,1,1,0
24,15.65,366.01,381.66,2.62,1,1,0
25,263.57,0.11,263.68,3.79,1,1,0
26,24.91,0.08,24.99,40.02,1,1,0
27,19.91,0.06,19.97,50.08,1,1,0
28,21.26,0.06,21.32,46.91,1,1,0
29,19.52,0.06,19.58,51.08,1,1,0
30,216.89,0.06,216.95,4.61,1,1,0
31,16.72,0.06,16.78,59.61,1,1,0
32,16.15,369.35,385.5,2.59,1,1,0
33,20.5,0.06,20.57,48.62,1,1,0
34,20.33,0.06,20.39,49.04,1,1,0
35,240.35,0.07,240.42,4.16,1,1,0
36,17.81,0.06,17.87,55.97,1,1,0
37,16.48,0.05,16.54,60.47,1,1,0
38,17.04,0.1,17.14,58.34,1,1,0
39,18.33,0.06,18.39,54.39,1,1,0
40,259.39,354.06,613.45,1.63,1,1,0
41,17.61,0.06,17.67,56.59,1,1,0
42,24.96,0.07,25.02,39.96,1,1,0
43,19.21,0.06,19.27,51.89,1,1,0
44,17.94,0.06,18.0,55.56,1,1,0
45,209.23,0.07,209.29,4.78,1,1,0
46,16.79,0.06,16.85,59.36,1,1,0
