ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758287254.41415,fa31cbb4,0,1,1,0,worker1,0.9129,391,88,467,182
1758287256.41619,fa31cbb4,5,1,1,0,worker1,0.85,392,89,465,182
1758287257.362489,fa31cbb4,10,1,1,0,worker1,0.9314,393,90,468,182
1758287257.631351,fa31cbb4,15,1,1,0,worker1,0.9223,393,90,469,182
1758287258.2148511,fa31cbb4,20,1,1,0,worker1,0.8556,395,90,468,180
1758287258.818789,fa31cbb4,25,1,1,0,worker1,0.9311,394,90,470,182
1758287259.101772,fa31cbb4,30,1,1,0,worker1,0.9224,394,90,469,182
1758287259.699279,fa31cbb4,35,1,1,0,worker1,0.8525,394,89,468,180
1758287259.9695601,fa31cbb4,40,1,1,0,worker1,0.9289,393,89,469,182
1758287260.555873,fa31cbb4,45,1,1,0,worker1,0.9068,392,88,469,184
1758287261.147338,fa31cbb4,50,1,1,0,worker1,0.8287,394,89,467,183
1758287261.428246,fa31cbb4,55,1,1,0,worker1,0.9268,392,87,468,185
1758287262.060357,fa31cbb4,60,1,1,0,worker1,0.8905,392,88,469,185
1758287262.653991,fa31cbb4,65,1,1,0,worker1,0.814,394,90,469,185
1758287262.935234,fa31cbb4,70,1,1,0,worker1,0.9183,391,89,467,186
1758287263.520462,fa31cbb4,75,1,1,0,worker1,0.8926,390,88,466,185
1758287263.7830021,fa31cbb4,80,1,1,0,worker1,0.7955,393,88,468,184
1758287264.393651,fa31cbb4,85,1,1,0,worker1,0.9182,392,88,468,186
1758287264.964621,fa31cbb4,90,1,1,0,worker1,0.9157,391,88,468,187
1758287265.2414,fa31cbb4,95,1,1,0,worker1,0.8154,392,90,466,185
1758287265.8495018,fa31cbb4,100,1,1,0,worker1,0.9109,391,89,467,187
1758287266.473375,fa31cbb4,105,1,1,0,worker1,0.9093,391,89,467,187
1758287266.741004,fa31cbb4,110,1,1,0,worker1,0.8341,392,90,466,184
1758287267.321683,fa31cbb4,115,1,1,0,worker1,0.9064,392,88,468,187
1758287267.617383,fa31cbb4,120,1,1,0,worker1,0.9163,392,88,468,187
1758287268.230873,fa31cbb4,125,1,1,0,worker1,0.8247,393,88,467,184
1758287268.860546,fa31cbb4,130,1,1,0,worker1,0.8891,391,88,468,186
1758287269.1410189,fa31cbb4,135,1,1,0,worker1,0.8854,391,87,468,186
1758287269.759112,fa31cbb4,140,1,1,0,worker1,0.8093,392,89,466,184
1758287270.361407,fa31cbb4,145,1,1,0,worker1,0.8896,391,88,468,186
1758287270.6328802,fa31cbb4,150,1,1,0,worker1,0.8763,391,87,468,186
1758287271.230743,fa31cbb4,155,1,1,0,worker1,0.7969,393,89,467,184
1758287271.5232599,fa31cbb4,160,1,1,0,worker1,0.8768,392,88,469,186
1758287272.142772,fa31cbb4,165,1,1,0,worker1,0.8856,392,88,468,186
1758287272.8186119,fa31cbb4,170,1,1,0,worker1,0.8017,392,88,467,185
1758287273.463959,fa31cbb4,175,1,1,0,worker1,0.8699,391,88,468,186
1758287274.132662,fa31cbb4,180,1,1,0,worker1,0.8748,392,89,468,186
