frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,677.51,1480.3,2157.81,0.46,1,1,0
1,19.11,0.06,19.17,52.18,1,1,0
2,21.8,0.09,21.89,45.68,1,1,0
3,32.11,0.08,32.19,31.07,1,1,0
4,20.75,0.06,20.81,48.06,1,1,0
5,411.12,0.06,411.18,2.43,1,1,0
6,21.96,0.07,22.03,45.4,1,1,0
7,25.48,0.12,25.6,39.07,1,1,0
8,19.19,585.26,604.44,1.65,1,1,0
9,18.83,0.06,18.89,52.93,1,1,0
10,266.91,0.06,266.97,3.75,1,1,0
11,16.38,0.05,16.44,60.84,1,1,0
12,16.13,0.05,16.18,61.8,1,1,0
13,15.93,0.05,15.98,62.57,1,1,0
14,16.73,0.06,16.79,59.57,1,1,0
15,196.48,0.06,196.54,5.09,1,1,0
16,16.68,323.5,340.17,2.94,1,1,0
17,16.56,0.05,16.61,60.19,1,1,0
18,16.08,0.05,16.13,61.98,1,1,0
19,17.46,0.05,17.51,57.11,1,1,0
20,186.82,0.06,186.88,5.35,1,1,0
21,16.86,0.05,16.91,59.13,1,1,0
22,15.85,0.05,15.9,62.89,1,1,0
23,15.76,0.05,15.82,63.23,1,1,0
24,15.56,320.44,336.0,2.98,1,1,0
25,213.1,0.06,213.16,4.69,1,1,0
26,18.62,0.06,18.68,53.54,1,1,0
27,17.67,0.07,17.74,56.38,1,1,0
28,17.87,0.06,17.93,55.78,1,1,0
29,17.37,0.06,17.43,57.37,1,1,0
30,204.38,0.05,204.44,4.89,1,1,0
31,16.21,0.05,16.26,61.49,1,1,0
32,17.47,323.4,340.87,2.93,1,1,0
33,18.12,0.06,18.18,55.01,1,1,0
34,17.2,0.06,17.26,57.94,1,1,0
35,198.17,0.06,198.23,5.04,1,1,0
36,17.06,0.05,17.11,58.43,1,1,0
37,16.13,0.05,16.19,61.77,1,1,0
38,16.43,0.06,16.49,60.65,1,1,0
39,16.92,0.06,16.97,58.92,1,1,0
40,197.07,314.1,511.17,1.96,1,1,0
41,17.86,0.06,17.92,55.8,1,1,0
42,16.65,0.05,16.7,59.86,1,1,0
43,16.54,0.05,16.59,60.28,1,1,0
44,16.66,0.05,16.72,59.82,1,1,0
45,197.84,0.06,197.9,5.05,1,1,0
46,16.48,0.05,16.53,60.49,1,1,0
47,16.19,0.05,16.25,61.55,1,1,0
48,15.69,319.58,335.27,2.98,1,1,0
49,16.95,0.06,17.0,58.81,1,1,0
50,199.95,0.06,200.01,5.0,1,1,0
51,16.41,0.05,16.46,60.74,1,1,0
52,15.72,0.05,15.77,63.4,1,1,0
53,15.83,0.05,15.88,62.98,1,1,0
54,15.66,0.06,15.72,63.61,1,1,0
55,210.77,0.06,210.82,4.74,1,1,0
56,18.3,341.99,360.29,2.78,1,1,0
57,17.88,0.06,17.94,55.73,1,1,0
58,18.68,0.06,18.74,53.37,1,1,0
59,17.88,0.05,17.93,55.77,1,1,0
60,210.51,0.06,210.57,4.75,1,1,0
61,16.93,0.05,16.98,58.88,1,1,0
62,15.86,0.05,15.92,62.83,1,1,0
63,15.96,0.05,16.01,62.44,1,1,0
64,16.3,313.62,329.93,3.03,1,1,0
65,208.53,0.05,208.58,4.79,1,1,0
66,17.16,0.05,17.21,58.11,1,1,0
67,16.14,0.06,16.19,61.76,1,1,0
68,16.12,0.05,16.18,61.82,1,1,0
69,15.56,0.05,15.61,64.04,1,1,0
70,210.13,0.05,210.19,4.76,1,1,0
71,17.07,0.09,17.16,58.27,1,1,0
72,17.08,316.89,333.97,2.99,1,1,0
73,17.34,0.06,17.39,57.49,1,1,0
74,17.56,0.05,17.62,56.77,1,1,0
75,192.63,0.05,192.68,5.19,1,1,0
76,16.59,0.06,16.65,60.07,1,1,0
77,16.05,0.05,16.1,62.1,1,1,0
78,15.84,0.05,15.89,62.93,1,1,0
79,15.71,0.05,15.76,63.45,1,1,0
80,192.12,333.76,525.88,1.9,1,1,0
81,17.75,0.06,17.81,56.16,1,1,0
82,16.82,0.06,16.88,59.25,1,1,0
83,17.51,0.05,17.56,56.95,1,1,0
84,17.36,0.05,17.41,57.43,1,1,0
85,200.87,0.05,200.93,4.98,1,1,0
86,16.22,0.05,16.27,61.46,1,1,0
87,15.6,0.05,15.66,63.88,1,1,0
88,15.57,305.9,321.48,3.11,1,1,0
89,15.83,0.05,15.88,62.97,1,1,0
90,195.44,0.05,195.49,5.12,1,1,0
91,16.35,0.05,16.4,60.96,1,1,0
92,16.65,0.08,16.74,59.75,1,1,0
93,17.79,0.05,17.85,56.03,1,1,0
94,16.54,0.05,16.59,60.26,1,1,0
95,203.08,0.06,203.15,4.92,1,1,0
96,16.61,337.18,353.79,2.83,1,1,0
97,17.89,0.06,17.94,55.74,1,1,0
98,16.98,0.06,17.04,58.7,1,1,0
99,16.42,0.05,16.47,60.71,1,1,0
100,196.78,0.05,196.83,5.08,1,1,0
101,17.01,0.05,17.07,58.59,1,1,0
102,16.9,0.05,16.95,58.98,1,1,0
103,16.51,0.06,16.56,60.38,1,1,0
104,17.81,334.31,352.11,2.84,1,1,0
105,214.57,0.05,214.63,4.66,1,1,0
106,17.01,0.05,17.07,58.6,1,1,0
107,16.96,0.05,17.01,58.79,1,1,0
108,17.36,0.05,17.41,57.43,1,1,0
109,16.7,0.06,16.75,59.7,1,1,0
110,193.29,0.06,193.35,5.17,1,1,0
111,16.58,0.05,16.63,60.13,1,1,0
112,16.64,316.74,333.38,3.0,1,1,0
113,16.4,0.05,16.45,60.79,1,1,0
114,16.39,0.05,16.45,60.81,1,1,0
115,191.7,0.05,191.75,5.22,1,1,0
116,16.48,0.06,16.54,60.46,1,1,0
117,17.55,0.06,17.61,56.8,1,1,0
118,18.04,0.06,18.1,55.24,1,1,0
119,17.78,0.06,17.84,56.06,1,1,0
120,219.22,323.71,542.93,1.84,1,1,0
121,17.62,0.06,17.67,56.58,1,1,0
122,17.71,0.06,17.77,56.27,1,1,0
123,17.35,0.06,17.41,57.45,1,1,0
124,17.45,0.05,17.5,57.13,1,1,0
125,212.28,0.06,212.34,4.71,1,1,0
126,16.02,0.05,16.08,62.2,1,1,0
127,16.37,0.06,16.42,60.89,1,1,0
128,17.52,331.44,348.97,2.87,1,1,0
129,17.23,0.05,17.28,57.87,1,1,0
130,224.47,0.06,224.52,4.45,1,1,0
131,16.25,0.05,16.3,61.34,1,1,0
132,15.84,0.05,15.89,62.92,1,1,0
133,15.71,0.06,15.77,63.42,1,1,0
134,15.97,0.05,16.03,62.4,1,1,0
135,210.35,0.05,210.41,4.75,1,1,0
136,16.5,332.12,348.62,2.87,1,1,0
137,17.69,0.07,17.76,56.32,1,1,0
138,20.03,0.06,20.09,49.79,1,1,0
139,17.83,0.05,17.89,55.91,1,1,0
140,207.13,0.07,207.2,4.83,1,1,0
141,16.55,0.05,16.6,60.23,1,1,0
142,15.71,0.06,15.76,63.43,1,1,0
143,18.39,0.06,18.45,54.2,1,1,0
144,18.37,325.41,343.79,2.91,1,1,0
145,200.99,0.05,201.04,4.97,1,1,0
146,16.31,0.05,16.36,61.12,1,1,0
147,15.94,0.05,16.0,62.51,1,1,0
148,16.45,0.05,16.5,60.59,1,1,0
149,17.52,0.06,17.58,56.88,1,1,0
150,198.87,0.06,198.93,5.03,1,1,0
151,16.32,0.05,16.37,61.09,1,1,0
152,16.22,326.88,343.1,2.91,1,1,0
153,17.14,0.05,17.2,58.15,1,1,0
154,16.32,0.05,16.37,61.08,1,1,0
155,198.47,0.06,198.53,5.04,1,1,0
156,17.68,0.06,17.74,56.39,1,1,0
157,16.74,0.05,16.79,59.54,1,1,0
158,16.46,0.05,16.52,60.55,1,1,0
159,16.35,0.05,16.4,60.96,1,1,0
160,218.84,331.74,550.58,1.82,1,1,0
161,19.16,0.06,19.22,52.02,1,1,0
162,17.75,0.06,17.81,56.16,1,1,0
163,17.08,0.06,17.13,58.36,1,1,0
164,17.27,0.06,17.32,57.73,1,1,0
165,209.7,0.08,209.78,4.77,1,1,0
166,17.55,0.05,17.6,56.81,1,1,0
167,16.68,0.05,16.74,59.75,1,1,0
168,16.38,351.48,367.86,2.72,1,1,0
169,17.29,0.06,17.35,57.63,1,1,0
170,249.48,0.05,249.53,4.01,1,1,0
171,17.44,0.06,17.5,57.14,1,1,0
172,18.05,0.06,18.1,55.23,1,1,0
173,17.52,0.06,17.58,56.88,1,1,0
174,16.55,0.05,16.61,60.21,1,1,0
175,569.04,0.1,569.13,1.76,1,1,0
176,21.33,380.47,401.8,2.49,1,1,0
177,18.51,0.06,18.57,53.84,1,1,0
178,17.97,0.08,18.04,55.43,1,1,0
179,16.98,0.06,17.03,58.72,1,1,0
180,204.48,0.1,204.58,4.89,1,1,0
181,19.05,0.06,19.11,52.34,1,1,0
182,17.65,0.06,17.71,56.48,1,1,0
183,22.73,0.06,22.79,43.88,1,1,0
184,17.19,349.0,366.19,2.73,1,1,0
