ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758431361.616114,fe772753,0,1,1,0,anish,0.5274,811,270,1247,815
1758431361.884279,fe772753,1,1,1,0,anish,0.5274,723,269,1142,793
1758431362.4731321,fe772753,2,1,1,0,anish,0.5551,748,262,1166,815
1758431362.612648,fe772753,3,1,1,0,anish,0.5551,758,280,1160,812
1758431362.996045,fe772753,4,1,1,0,anish,0.5659,749,274,1166,823
1758431363.109362,fe772753,5,1,1,0,anish,0.5659,748,282,1157,820
1758431363.5507672,fe772753,6,1,1,0,anish,0.6553,738,280,1160,829
1758431363.660552,fe772753,7,1,1,0,anish,0.6553,742,280,1164,829
1758431364.757422,fe772753,8,1,1,0,anish,0.6279,746,280,1166,828
1758431364.910892,fe772753,9,1,1,0,anish,0.6279,664,269,1101,839
1758431365.374892,fe772753,10,1,1,0,anish,0.5631,650,327,1040,803
1758431365.461664,fe772753,11,1,1,0,anish,0.5631,643,347,1025,814
1758431365.878886,fe772753,12,1,1,0,anish,0.5785,635,350,1024,822
1758431365.9663029,fe772753,13,1,1,0,anish,0.5785,632,349,1021,821
1758431366.376148,fe772753,14,1,1,0,anish,0.5291,628,351,1017,835
1758431366.481668,fe772753,15,1,1,0,anish,0.5291,625,366,992,822
1758431367.349359,fe772753,16,1,1,0,anish,0.5198,613,359,1003,835
1758431367.458448,fe772753,17,1,1,0,anish,0.5198,613,364,1003,840
1758431368.014625,fe772753,18,1,1,0,anish,0.5715,612,359,1002,837
1758431368.096788,fe772753,19,1,1,0,anish,0.5715,612,357,1002,835
1758431368.487697,fe772753,20,1,1,0,anish,0.5608,613,357,1002,839
1758431368.601362,fe772753,21,1,1,0,anish,0.5608,612,360,993,833
1758431369.053026,fe772753,22,1,1,0,anish,0.5602,597,360,983,834
1758431369.139173,fe772753,23,1,1,0,anish,0.5602,570,361,956,835
1758431370.139101,fe772753,24,1,1,0,anish,0.5577,570,352,959,837
1758431370.250119,fe772753,25,1,1,0,anish,0.5577,544,344,941,839
1758431370.6218922,fe772753,26,1,1,0,anish,0.5641,546,356,937,838
1758431370.7354681,fe772753,27,1,1,0,anish,0.5641,545,361,928,834
1758431371.071153,fe772753,28,1,1,0,anish,0.5781,540,358,934,840
1758431371.165449,fe772753,29,1,1,0,anish,0.5781,542,358,936,840
1758431371.479285,fe772753,30,1,1,0,anish,0.5802,517,346,913,835
1758431371.562262,fe772753,31,1,1,0,anish,0.5802,228,311,624,800
1758431372.7312582,fe772753,32,1,0,1,Unknown,0.0611,1639,457,1999,897
1758431372.9605398,fe772753,33,1,0,1,Unknown,0.0611,1592,583,1945,1014
1758431373.543412,fe772753,34,1,0,1,Unknown,0.0799,1189,545,1483,939
1758431373.7417479,fe772753,35,1,0,1,Unknown,0.0799,1203,543,1503,945
1758431374.219247,fe772753,36,1,0,1,Unknown,0.0752,1185,555,1480,949
1758431374.375974,fe772753,37,1,0,1,Unknown,0.0752,1128,562,1417,948
1758431374.835451,fe772753,38,1,0,1,Unknown,0.0862,1117,570,1408,959
1758431375.0065742,fe772753,39,1,0,1,Unknown,0.0862,1121,559,1412,948
1758431375.932362,fe772753,40,1,0,1,Unknown,0.0804,1121,555,1411,970
1758431376.128632,fe772753,41,1,0,1,Unknown,0.0804,1180,530,1464,937
1758431376.70128,fe772753,42,1,0,1,Unknown,0.0742,1214,518,1503,926
1758431376.891167,fe772753,43,1,0,1,Unknown,0.0742,1269,516,1564,932
1758431377.380189,fe772753,44,2,1,0,anish,0.5939,23,300,515,826
1758431377.380189,fe772753,44,2,0,1,Unknown,0.0583,1281,513,1584,928
1758431377.558183,fe772753,45,2,1,0,anish,0.5939,245,330,757,877
1758431377.558183,fe772753,45,2,0,1,Unknown,0.0583,1464,505,1773,928
1758431378.033965,fe772753,46,2,1,0,anish,0.5897,468,372,849,839
1758431378.033965,fe772753,46,2,0,1,Unknown,0.0759,1616,483,1963,933
1758431378.207786,fe772753,47,2,1,0,anish,0.5897,700,389,1081,856
1758431378.207786,fe772753,47,2,0,1,Unknown,0.0759,1752,468,2086,901
