frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,760.51,1632.01,2392.51,0.42,1,1,0
1,206.04,0.46,206.5,4.84,1,1,0
2,546.36,0.61,546.97,1.83,1,1,0
3,108.6,11.22,119.82,8.35,1,1,0
4,371.44,0.27,371.71,2.69,1,1,0
5,83.83,0.41,84.24,11.87,1,1,0
6,427.14,0.21,427.35,2.34,1,1,0
7,99.81,0.28,100.08,9.99,1,1,0
8,514.05,551.75,1065.8,0.94,1,1,0
9,113.42,0.89,114.31,8.75,1,1,0
10,449.13,0.2,449.34,2.23,1,1,0
11,64.31,0.2,64.51,15.5,1,1,0
12,385.88,0.26,386.14,2.59,1,1,0
13,72.66,0.19,72.84,13.73,1,1,0
14,383.38,0.23,383.61,2.61,1,1,0
15,62.7,0.21,62.91,15.89,1,1,0
16,398.82,456.98,855.8,1.17,1,1,0
17,96.17,0.17,96.35,10.38,1,1,0
18,520.6,0.26,520.86,1.92,1,1,0
19,69.69,0.29,69.98,14.29,1,1,0
20,359.37,0.37,359.75,2.78,1,1,0
21,73.63,0.17,73.8,13.55,1,1,0
22,426.15,0.26,426.41,2.35,1,1,0
23,76.64,0.21,76.85,13.01,1,1,0
24,444.81,531.52,976.34,1.02,1,1,0
25,87.9,0.39,88.28,11.33,1,1,0
26,359.24,0.21,359.45,2.78,1,1,0
27,71.76,0.22,71.98,13.89,1,1,0
28,306.51,0.2,306.71,3.26,1,1,0
29,70.54,0.33,70.86,14.11,1,1,0
30,281.22,0.28,281.5,3.55,1,1,0
31,66.93,0.25,67.19,14.88,1,1,0
32,611.72,525.05,1136.76,0.88,1,0,1
33,195.63,0.38,196.01,5.1,1,0,1
34,543.89,0.27,544.16,1.84,1,0,1
35,177.26,0.19,177.45,5.64,1,0,1
36,453.18,0.27,453.44,2.21,1,0,1
37,144.22,0.17,144.39,6.93,1,0,1
38,421.8,0.17,421.98,2.37,1,0,1
39,136.79,0.19,136.98,7.3,1,0,1
40,494.75,403.32,898.07,1.11,1,0,1
41,161.62,0.31,161.93,6.18,1,0,1
42,536.51,0.23,536.74,1.86,1,0,1
43,158.2,0.2,158.4,6.31,1,0,1
44,447.83,0.34,448.17,2.23,2,1,1
45,159.99,0.3,160.29,6.24,2,1,1
46,433.56,0.31,433.87,2.3,2,1,1
47,140.58,0.28,140.87,7.1,2,1,1
48,345.6,456.55,802.16,1.25,0,0,0
49,69.44,0.09,69.54,14.38,0,0,0
50,381.14,0.11,381.26,2.62,0,0,0
51,113.28,0.19,113.47,8.81,0,0,0
52,460.05,0.18,460.22,2.17,0,0,0
53,77.39,0.18,77.58,12.89,0,0,0
54,373.81,0.1,373.9,2.67,0,0,0
55,77.13,0.09,77.22,12.95,0,0,0
56,339.68,572.84,912.52,1.1,0,0,0
