frame_idx,class,x1,y1,x2,y2
0,Hardhat,742,113,1341,406
0,NO-Hardhat,729,107,1333,845
8,Hardhat,693,147,1217,455
24,Hardhat,522,220,1018,505
32,NO-Mask,1593,363,1920,924
32,NO-Hardhat,1583,359,1920,929
32,NO-Hardhat,85,143,665,859
40,NO-Hardhat,1070,459,1457,975
40,NO-Mask,1073,457,1457,973
40,Hardhat,0,119,558,473
40,NO-Hardhat,0,110,565,872
48,NO-Hardhat,1801,421,1919,888
48,NO-Hardhat,654,267,1101,869
48,NO-Mask,1793,416,1920,889
48,NO-Hardhat,1773,393,1920,935
56,Hardhat,729,244,1198,516
