epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,669.538,3.5252,5.33215,3.97414,0.44375,0.10246,0.04061,0.01231,2.74942,3.91021,3.08092,0.00332987,0.00332987,0.00332987
2,1331.63,2.34101,3.19598,2.49034,0.37548,0.25894,0.18914,0.07832,2.10716,2.4802,2.28929,0.00659724,0.00659724,0.00659724
3,1983.79,1.92258,2.33846,1.98731,0.45632,0.40477,0.34867,0.15227,1.85127,2.10228,2.01239,0.0097986,0.0097986,0.0097986
4,2634.98,1.77223,1.99304,1.8115,0.59143,0.47817,0.47525,0.23133,1.72532,1.75214,1.87705,0.009703,0.009703,0.009703
5,3287.55,1.67212,1.74677,1.71656,0.6104,0.55575,0.53571,0.27431,1.64626,1.56585,1.77908,0.009604,0.009604,0.009604
6,3939.59,1.62204,1.60746,1.66321,0.64133,0.57727,0.57418,0.30761,1.60125,1.43034,1.73297,0.009505,0.009505,0.009505
7,4589.96,1.58233,1.51312,1.62535,0.64017,0.60499,0.5926,0.32418,1.57563,1.38256,1.70154,0.009406,0.009406,0.009406
8,5241.79,1.55105,1.44187,1.60044,0.6851,0.61103,0.61634,0.34946,1.53573,1.26868,1.6694,0.009307,0.009307,0.009307
9,5893.58,1.53227,1.405,1.58117,0.68083,0.63174,0.62968,0.35647,1.52516,1.23745,1.65593,0.009208,0.009208,0.009208
10,6545.95,1.51081,1.35326,1.5657,0.67924,0.6639,0.64809,0.375,1.49463,1.18618,1.63304,0.009109,0.009109,0.009109
11,7196.88,1.49549,1.3312,1.55319,0.67996,0.67786,0.65725,0.38271,1.47715,1.16347,1.61373,0.00901,0.00901,0.00901
12,7847.92,1.4765,1.28636,1.53486,0.69912,0.68843,0.67707,0.40107,1.45272,1.10191,1.58903,0.008911,0.008911,0.008911
13,8499.65,1.46254,1.26234,1.5286,0.70463,0.69483,0.68118,0.41181,1.44092,1.07469,1.57785,0.008812,0.008812,0.008812
14,9149.95,1.45687,1.24596,1.51699,0.72176,0.69815,0.69696,0.42212,1.4225,1.04698,1.56476,0.008713,0.008713,0.008713
15,9801.33,1.44874,1.22256,1.50909,0.65776,0.7143,0.69871,0.42658,1.4108,1.02548,1.55105,0.008614,0.008614,0.008614
16,10453,1.43498,1.20276,1.50055,0.658,0.71526,0.70268,0.4305,1.40446,1.0106,1.54046,0.008515,0.008515,0.008515
17,11103,1.42588,1.18149,1.49275,0.72143,0.72749,0.71431,0.4405,1.39018,0.98593,1.53359,0.008416,0.008416,0.008416
18,11754.5,1.41603,1.16977,1.49021,0.72892,0.71693,0.72163,0.44569,1.38289,0.96891,1.51943,0.008317,0.008317,0.008317
19,12404.1,1.40567,1.15241,1.47505,0.72646,0.73444,0.72149,0.44724,1.37839,0.95982,1.51534,0.008218,0.008218,0.008218
20,13055,1.40172,1.14232,1.46998,0.66912,0.74342,0.72878,0.45589,1.36884,0.94208,1.50913,0.008119,0.008119,0.008119
21,13706.3,1.39624,1.13081,1.47277,0.67181,0.74149,0.73153,0.45903,1.36185,0.93039,1.50118,0.00802,0.00802,0.00802
22,14357.7,1.3904,1.11521,1.45986,0.73856,0.73931,0.73372,0.46051,1.35714,0.91929,1.4959,0.007921,0.007921,0.007921
23,15008.3,1.38319,1.10087,1.45741,0.73593,0.75419,0.73739,0.46514,1.35015,0.90513,1.48873,0.007822,0.007822,0.007822
24,15660.3,1.37285,1.09302,1.45617,0.7017,0.75595,0.73952,0.46825,1.34511,0.89894,1.48623,0.007723,0.007723,0.007723
25,16312.1,1.37142,1.08819,1.455,0.6949,0.75722,0.74013,0.46943,1.33947,0.89399,1.48115,0.007624,0.007624,0.007624
26,16962.8,1.36565,1.08134,1.44697,0.73753,0.75759,0.74355,0.47338,1.33329,0.88589,1.47532,0.007525,0.007525,0.007525
27,17615,1.35732,1.06576,1.43926,0.67195,0.77416,0.747,0.47636,1.32884,0.87843,1.47152,0.007426,0.007426,0.007426
28,18265.5,1.35379,1.056,1.43558,0.67742,0.77826,0.74844,0.47709,1.32718,0.87303,1.46823,0.007327,0.007327,0.007327
29,18914.9,1.34977,1.0518,1.43653,0.67547,0.7831,0.74918,0.47836,1.32359,0.86882,1.46462,0.007228,0.007228,0.007228
30,19567.3,1.34304,1.03824,1.42479,0.68291,0.77835,0.74944,0.48005,1.32054,0.86359,1.46082,0.007129,0.007129,0.007129
31,20220.1,1.34039,1.03768,1.42551,0.67917,0.78286,0.74934,0.48071,1.31794,0.85823,1.45816,0.00703,0.00703,0.00703
32,20871.1,1.33269,1.02802,1.42229,0.68572,0.78158,0.7498,0.4817,1.31584,0.85466,1.45614,0.006931,0.006931,0.006931
33,21521.4,1.32555,1.01707,1.41417,0.68307,0.78141,0.75071,0.48229,1.31442,0.85169,1.45431,0.006832,0.006832,0.006832
34,22173.1,1.32595,1.01202,1.4149,0.67725,0.79032,0.75183,0.48364,1.31268,0.84783,1.45275,0.006733,0.006733,0.006733
35,22824.4,1.31717,1.00075,1.40974,0.66877,0.79527,0.75234,0.48504,1.31094,0.84475,1.45124,0.006634,0.006634,0.006634
36,23477.7,1.32124,0.99319,1.40691,0.66383,0.80093,0.75314,0.48586,1.30926,0.8417,1.44945,0.006535,0.006535,0.006535
37,24130.3,1.31893,0.9995,1.40918,0.66794,0.80163,0.75406,0.48636,1.30768,0.8391,1.44787,0.006436,0.006436,0.006436
38,24779.5,1.30837,0.98983,1.40449,0.66996,0.80109,0.75418,0.48668,1.30602,0.83722,1.44656,0.006337,0.006337,0.006337
39,25431.2,1.3022,0.98328,1.39531,0.66967,0.80339,0.75464,0.48717,1.30416,0.83501,1.44464,0.006238,0.006238,0.006238
40,26080.2,1.30076,0.96985,1.39373,0.67096,0.80336,0.75525,0.48799,1.30298,0.83285,1.44344,0.006139,0.006139,0.006139
41,26731.4,1.30162,0.97128,1.39319,0.66804,0.80575,0.75599,0.48922,1.30167,0.83063,1.44216,0.00604,0.00604,0.00604
42,27382.8,1.29332,0.96314,1.38466,0.66757,0.80671,0.75662,0.48985,1.30046,0.82863,1.44102,0.005941,0.005941,0.005941
43,28033.6,1.29392,0.95999,1.38752,0.66894,0.8072,0.75753,0.49055,1.29917,0.82637,1.43995,0.005842,0.005842,0.005842
44,28686.9,1.28558,0.95042,1.38096,0.66919,0.80802,0.75735,0.49178,1.29794,0.82405,1.43855,0.005743,0.005743,0.005743
45,29338.9,1.2819,0.94524,1.38062,0.67238,0.80715,0.75808,0.49228,1.29689,0.82198,1.43751,0.005644,0.005644,0.005644
46,29990.4,1.27776,0.94008,1.37649,0.67285,0.80844,0.75867,0.49259,1.29583,0.8198,1.43631,0.005545,0.005545,0.005545
47,30641.1,1.27853,0.9393,1.37471,0.67332,0.80992,0.75976,0.49363,1.29459,0.81778,1.43501,0.005446,0.005446,0.005446
48,31291.4,1.27208,0.93477,1.37277,0.67477,0.81119,0.76011,0.49427,1.29347,0.81547,1.43394,0.005347,0.005347,0.005347
49,31942.6,1.26708,0.9264,1.36934,0.67464,0.81348,0.76114,0.49518,1.29258,0.81316,1.433,0.005248,0.005248,0.005248
50,32593.1,1.26494,0.9215,1.36541,0.677,0.81236,0.76154,0.49597,1.29144,0.81078,1.43157,0.005149,0.005149,0.005149
